"Unit","C_unit","Treatment","timestep"
"A1",148.551712923414,"CC",0
"A2",163.051454199542,"LR",0
"A3",167.295355321097,"CC",0
"A4",157.950368710608,"NH",0
"B1",148.739454255732,"NH",0
"B2",158.485673836805,"HR",0
"B3",119.472290304902,"HR",0
"B4",127.157756566105,"CC",0
"B5",153.286235844276,"LR",0
"C1",174.705359747236,"NH",0
"C2",187.235958991553,"HR",0
"C3",175.296632105621,"LR",0
"D2",253.477800035803,"CC",0
"D3",202.515767042713,"NH",0
"D4",181.980718430804,"HR",0
"D5",216.9510091469,"LR",0
"A2",94.5089850804755,"LR",1
"A4",155.178372084226,"NH",1
"B1",158.944555284432,"NH",1
"B2",82.625650358347,"HR",1
"B3",77.941358252102,"HR",1
"B5",123.807795577127,"LR",1
"C1",167.362624758122,"NH",1
"C2",95.4129487780066,"HR",1
"C3",120.258166358949,"LR",1
"D3",189.54784873073,"NH",1
"D4",92.9078421954718,"HR",1
"D5",154.678265599388,"LR",1
"A1",0,"CC",1
"A3",0,"CC",1
"B4",0,"CC",1
"D2",0,"CC",1
"A1",19.6325834020794,"CC",18
"A2",150.131141301605,"LR",18
"A3",22.5553550849733,"CC",18
"A4",171.372186499462,"NH",18
"B1",167.318883108907,"NH",18
"B2",135.751834901215,"HR",18
"B3",107.724428374615,"HR",18
"B4",21.585644004967,"CC",18
"B5",137.711880977225,"LR",18
"C1",184.794463647359,"NH",18
"C2",103.338805920143,"HR",18
"C3",139.654635562546,"LR",18
"D2",17.5587326793577,"CC",18
"D3",240.865151118704,"NH",18
"D4",106.110302594394,"HR",18
"D5",182.636613114679,"LR",18
"A1",43.0813301889889,"CC",26
"A2",126.523626297001,"LR",26
"A3",56.0349472381359,"CC",26
"A4",240.427475356199,"NH",26
"B1",186.865332074551,"NH",26
"B2",172.257411318669,"HR",26
"B3",136.099638270637,"HR",26
"B4",30.9149221964754,"CC",26
"B5",133.78770821604,"LR",26
"C1",237.900337461306,"NH",26
"C2",114.954148793172,"HR",26
"C3",141.88737704205,"LR",26
"D2",20.4423576769723,"CC",26
"D3",309.770743942207,"NH",26
"D4",117.436811211418,"HR",26
"D5",150.069947429457,"LR",26
