"Unit","C_unit","Treatment","timestep"
"A1",80.7708027718751,"CC",0
"A2",109.346030906963,"LR",0
"A3",94.2673484707423,"CC",0
"A4",78.2806748834469,"NH",0
"B1",101.273507369962,"NH",0
"B2",126.663459240871,"HR",0
"B3",50.8452438765977,"HR",0
"B4",81.7924854599337,"CC",0
"B5",82.0087887639805,"LR",0
"C1",109.287295305684,"NH",0
"C2",105.402505214842,"HR",0
"C3",102.629185744853,"LR",0
"D2",227.995573100753,"CC",0
"D3",166.158942151213,"NH",0
"D4",158.872857130878,"HR",0
"D5",175.809669809102,"LR",0
"A2",66.9317284433617,"LR",1
"A4",84.6807059604279,"NH",1
"B1",98.9143137603692,"NH",1
"B2",57.1985991586315,"HR",1
"B3",38.808015908562,"HR",1
"B5",73.1556316159293,"LR",1
"C1",85.1404797287614,"NH",1
"C2",55.4816742838244,"HR",1
"C3",77.7977996315126,"LR",1
"D3",157.382893412621,"NH",1
"D4",77.3052934939587,"HR",1
"D5",140.122138311684,"LR",1
"A1",0,"CC",1
"A3",0,"CC",1
"B4",0,"CC",1
"D2",0,"CC",1
"A1",1.41579127048538,"CC",18
"A2",108.440459541562,"LR",18
"A3",2.09383155558375,"CC",18
"A4",107.934880338706,"NH",18
"B1",107.059820672521,"NH",18
"B2",96.7073837279027,"HR",18
"B3",67.018762992457,"HR",18
"B4",3.90835366890695,"CC",18
"B5",78.3332061422538,"LR",18
"C1",91.0250855062241,"NH",18
"C2",42.8598242995089,"HR",18
"C3",100.519164435168,"LR",18
"D2",6.35507191301588,"CC",18
"D3",188.523509878247,"NH",18
"D4",94.9505744009795,"HR",18
"D5",162.645591353076,"LR",18
"A1",5.73744109814275,"CC",26
"A2",93.4434071855769,"LR",26
"A3",12.80974708009,"CC",26
"A4",155.246360945136,"NH",26
"B1",126.97478632859,"NH",26
"B2",121.091480855882,"HR",26
"B3",86.8866026550335,"HR",26
"B4",6.98595887775589,"CC",26
"B5",85.6870107247026,"LR",26
"C1",112.048752097046,"NH",26
"C2",51.1267234369534,"HR",26
"C3",89.4006651583741,"LR",26
"D2",7.51688847416237,"CC",26
"D3",242.187655255634,"NH",26
"D4",101.726690237965,"HR",26
"D5",132.360968821896,"LR",26
