"unit","treatment","timestep","C_unit"
3,"ctrl",0,0
4,"med",0,0
5,"low",0,0
6,"ctrl",0,0
7,"low",0,0
8,"med",0,0
9,"ctrl",0,0
10,"ctrl",0,0
11,"med",0,0
12,"med",0,0
13,"low",0,0
14,"low",0,0
15,"med",0,0
16,"ctrl",0,0
17,"ctrl",0,0
18,"med",0,0
19,"low",0,0
20,"ctrl",0,0
24,"low",0,0
3,"ctrl",2,0
4,"med",2,0
5,"low",2,0
6,"ctrl",2,0
7,"low",2,0
8,"med",2,0
9,"ctrl",2,0
10,"ctrl",2,0
11,"med",2,0
12,"med",2,0
13,"low",2,0
14,"low",2,0
15,"med",2,0
16,"ctrl",2,0
17,"ctrl",2,0
18,"med",2,0
19,"low",2,0
20,"ctrl",2,0
24,"low",2,0
3,"ctrl",5,2.06369535276885
4,"med",5,2.99703565615591
5,"low",5,0
6,"ctrl",5,0
7,"low",5,0.343619404486641
8,"med",5,3.03037869127674
9,"ctrl",5,0
10,"ctrl",5,0
11,"med",5,2.99083308861329
12,"med",5,0
13,"low",5,0
14,"low",5,0
15,"med",5,3.75399738665311
16,"ctrl",5,0
17,"ctrl",5,0
18,"med",5,0
19,"low",5,0
20,"ctrl",5,0.570922612383163
24,"low",5,0
3,"ctrl",17,12.1085669725289
4,"med",17,19.2266906022469
5,"low",17,0
6,"ctrl",17,2.53853930387334
7,"low",17,0.343619404486641
8,"med",17,12.3311521252135
9,"ctrl",17,0.479757679651255
10,"ctrl",17,5.83792840104793
11,"med",17,3.37049287241678
12,"med",17,0
13,"low",17,3.36029033693914
14,"low",17,0
15,"med",17,6.62700760396014
16,"ctrl",17,0
17,"ctrl",17,0
18,"med",17,0
19,"low",17,0
20,"ctrl",17,1.19865995780476
24,"low",17,0
3,"ctrl",27,30.7338663419083
4,"med",27,19.2266906022469
5,"low",27,0
6,"ctrl",27,10.2989469345389
7,"low",27,0.444127277372493
8,"med",27,12.3311521252135
9,"ctrl",27,10.7635678978777
10,"ctrl",27,15.6987465938635
11,"med",27,3.82775436306898
12,"med",27,0
13,"low",27,3.95166799170861
14,"low",27,16.8393922997044
15,"med",27,10.6543191512556
16,"ctrl",27,1.54020198324639
17,"ctrl",27,7.50527567068185
18,"med",27,31.5613052061679
19,"low",27,0.205737097649427
20,"ctrl",27,2.82827072711516
24,"low",27,0.272201614165226
