"unit","treatment","timestep","C_unit"
3,"ctrl",0,61.8021802527549
5,"low",0,5.22174224627288
6,"ctrl",0,64.1198949274766
7,"low",0,7.75569594658332
8,"med",0,24.2093068293765
9,"ctrl",0,49.2252911717273
10,"ctrl",0,48.4133347253845
11,"med",0,26.2589817558523
12,"med",0,38.6065929152421
13,"low",0,25.7969320524246
14,"low",0,22.94890817929
16,"ctrl",0,39.101141547438
17,"ctrl",0,75.0730169606063
18,"med",0,65.4105324889917
19,"low",0,22.8150263325741
20,"ctrl",0,52.6529769692187
24,"low",0,20.48331539231
3,"ctrl",2,64.2370595954141
4,"med",2,39.9468744721036
5,"low",2,5.20198071861
6,"ctrl",2,66.3702129360273
7,"low",2,8.48236659217762
8,"med",2,26.6133462271877
9,"ctrl",2,54.3794373514512
10,"ctrl",2,52.5246088146895
11,"med",2,29.2730338506669
12,"med",2,39.9050677585961
13,"low",2,30.5360287073728
14,"low",2,27.7495415204644
15,"med",2,33.0269217223921
20,"ctrl",2,58.7878929901432
24,"low",2,21.4575584677152
3,"ctrl",5,64.8274436672208
4,"med",5,40.7639361178101
5,"low",5,7.03223760001551
6,"ctrl",5,72.0458692001724
7,"low",5,12.9892968983081
8,"med",5,27.9670605318901
9,"ctrl",5,61.027238177176
10,"ctrl",5,56.3964767553075
11,"med",5,29.0681458670924
12,"med",5,44.1086436843069
13,"low",5,39.329739368035
14,"low",5,35.2117896405513
15,"med",5,38.2570024199326
20,"ctrl",5,64.2905978073209
24,"low",5,25.8331863335292
3,"ctrl",17,65.3212607449294
4,"med",17,37.8741479422604
5,"low",17,19.3828938236311
6,"ctrl",17,90.771779815893
7,"low",17,25.2382050717585
8,"med",17,33.2335297144338
9,"ctrl",17,86.0545380892977
10,"ctrl",17,66.5586129548316
11,"med",17,50.2996421678207
12,"med",17,60.7273461604901
13,"low",17,66.2145605386485
14,"low",17,67.3713721831602
15,"med",17,63.7410308491439
16,"ctrl",17,68.154577218971
17,"ctrl",17,106.891770155434
18,"med",17,95.1895757758832
19,"low",17,59.7483139317164
20,"ctrl",17,86.6261515781748
24,"low",17,46.2187193800954
3,"ctrl",27,58.4533984627233
4,"med",27,57.4182494178695
5,"low",27,38.8415211877587
6,"ctrl",27,100.14430885429
7,"low",27,43.2169491164957
8,"med",27,49.8366089656486
9,"ctrl",27,95.4311942165082
10,"ctrl",27,71.0574060681804
11,"med",27,64.5389526953295
12,"med",27,77.4893465347419
13,"low",27,92.8139816124909
14,"low",27,84.6253161152005
15,"med",27,81.2691844421173
16,"ctrl",27,86.473946943184
17,"ctrl",27,113.753782460629
18,"med",27,73.7358539085363
19,"low",27,80.4812714057496
20,"ctrl",27,105.437121956554
24,"low",27,69.0622352130848
