"unit","treatment","timestep","C_unit"
3,"ctrl",0,21.4103590341409
4,"med",0,0
5,"low",0,0.962803974884545
6,"ctrl",0,17.3735768289467
7,"low",0,1.74409265621655
8,"med",0,14.28958384125
9,"ctrl",0,29.0262637968907
10,"ctrl",0,27.7449844365798
11,"med",0,12.727395686768
12,"med",0,11.233646199188
13,"low",0,10.7578970113276
14,"low",0,9.63427979167373
15,"med",0,0
16,"ctrl",0,11.2620440925198
17,"ctrl",0,16.5711851762926
18,"med",0,8.42928561531281
20,"ctrl",0,24.8400259008328
24,"low",0,2.89109094695388
3,"ctrl",2,21.3467035928294
4,"med",2,12.3140003721856
5,"low",2,0.962803974884545
6,"ctrl",2,18.2310078284641
7,"low",2,1.951824231679
8,"med",2,15.3844446778929
9,"ctrl",2,31.6941638008365
10,"ctrl",2,29.2193623560231
11,"med",2,13.6860867966206
12,"med",2,11.5655618538018
13,"low",2,13.4343664973474
14,"low",2,11.9488637282239
15,"med",2,18.4399325437194
16,"ctrl",2,0
17,"ctrl",2,0
18,"med",2,0
20,"ctrl",2,26.3729670360968
24,"low",2,3.80326107875347
3,"ctrl",5,19.1391363537168
4,"med",5,13.0503801978679
5,"low",5,1.12395751549
6,"ctrl",5,19.6342819608593
7,"low",5,2.0351739744869
8,"med",5,13.8232913518972
9,"ctrl",5,35.2105784451485
10,"ctrl",5,30.8854822254084
11,"med",5,14.7325867984099
12,"med",5,12.9570658261548
13,"low",5,18.8735726522947
14,"low",5,15.802815951866
15,"med",5,21.214591579703
16,"ctrl",5,0
17,"ctrl",5,0
18,"med",5,0
20,"ctrl",5,27.941157269553
24,"low",5,5.78539897757485
3,"ctrl",17,19.5687822690936
4,"med",17,6.61297353950005
5,"low",17,2.04065055170714
6,"ctrl",17,23.847967268952
7,"low",17,3.78614666681552
8,"med",17,11.4050036651338
9,"ctrl",17,49.953514941551
10,"ctrl",17,30.2006325241292
11,"med",17,20.9154576737619
12,"med",17,17.2916207093659
13,"low",17,39.5593999453732
14,"low",17,35.1087937400696
15,"med",17,36.2594937258116
16,"ctrl",17,13.5881356943625
17,"ctrl",17,20.2134738935589
18,"med",17,12.5272016711458
20,"ctrl",17,33.4975173067775
24,"low",17,16.2104523103085
3,"ctrl",27,0
4,"med",27,8.16304036761034
5,"low",27,5.13789785231255
6,"ctrl",27,28.2527601047986
7,"low",27,5.93142643426002
8,"med",27,18.8620161688116
9,"ctrl",27,53.6234130921713
10,"ctrl",27,23.4481019562024
11,"med",27,25.5708693076442
12,"med",27,21.3549873877931
13,"low",27,59.436926206186
14,"low",27,41.3468744081854
15,"med",27,48.8151132359645
16,"ctrl",27,14.572827670073
17,"ctrl",27,15.6926219988369
18,"med",27,14.6519200269362
20,"ctrl",27,38.3779193687532
24,"low",27,27.1918877169322
